,Feitian JavaCOS A22 & A40,Nettle 2.0,OpenSSL 0.9.7 & 1.0.2g & 1.0.2k & 1.1.0e,WolfSSL 2.0rc1 & 3.9.0 & 3.10.2,Cryptix JCE 20050328,cryptlib 3.4.3 & 3.4.3.1,Botan 1.5.6 & 1.11.29 & 2.1.0,Nettle 3.2 & 3.3,NXP J2A080 & J2A081 & J3A081 & JCOP 41 V2.2.1,Gemalto GCX4 72K,Libgcrypt 1.6.0 & 1.6.5 & 1.7.6,Bouncy Castle 1.53 (Java),YubiKey NEO,Gemalto GXP E64,HSM Utimaco Security Server Se50,YubiKey 4 & 4 Nano,Libgcrypt 1.6.0 FIPS & 1.6.5 FIPS,GNU Crypto 2.0.1,SunRsaSign OpenJDK 1.8.0,Microsoft CryptoAPI & CNG & .NET,FlexiProvider 1.7p7,G&D SmartCafe 3.2,G&D SmartCafe 4.x & 6.0,HSM SafeNet Luna SA-1700,OpenSSL FIPS 2.0.12 & 2.0.14,Oberthur Cosmo 64,PolarSSL 0.10.0,Libgcrypt 1.7.6 FIPS,Crypto++ 5.6.0 & 5.6.3 & 5.6.5,PuTTY 0.67,NXP J2D081 & J2E145G,Bouncy Castle 1.54 (Java),mbedTLS 1.3.19 & 2.2.1 & 2.4.2,Infineon JTOP 80K,Oberthur Cosmo Dual 72K,PGPSDK 4,PGPSDK 4 FIPS,LibTomCrypt 1.17
1|0|110110,1363,2312,56026,22397,2223,16815,17346,16593,15343,581,30037,1572,2,9,1931,0,17338,3411,1480,11666,2214,0,0,5400,16434,309,2293,77,16647,986,393,8081,9194,0,1509,8015,6694,5440
1|0|110111,1265,2101,49512,19778,1998,14956,15449,14689,5227,545,26990,1265,0,2,1862,0,15372,3009,1330,10397,1994,0,0,4905,15073,264,2030,69,15001,857,0,7090,8068,0,1287,6867,6756,5073
1|0|111000,1149,1797,43548,17538,1696,13007,13774,13051,0,480,23679,1156,0,1,1601,0,13397,2697,1244,9193,1793,0,0,4219,13002,233,1764,38,12863,779,0,6464,7096,0,1102,5631,6733,4344
1|0|111001,991,1540,37678,15051,1509,11219,11710,11192,0,415,20361,948,0,1,1361,0,11708,2292,1021,8018,1522,0,0,3712,11378,177,1563,42,11484,650,0,5452,6077,0,997,4587,6722,3771
1|0|111010,774,1235,31866,12495,1292,9445,10064,9372,0,357,17209,843,0,0,1095,0,9960,1939,811,6808,1323,0,0,3035,9434,160,1246,32,9422,520,0,4631,5105,0,845,3595,6649,3182
1|0|111011,706,1077,25758,10204,1097,7698,7991,7840,0,286,14011,690,0,0,977,0,7839,1579,655,5397,1044,0,0,2609,7860,135,1082,31,7589,480,0,3920,4267,0,713,2510,6635,2631
1|0|111100,489,810,20020,7925,823,5958,6166,5963,0,216,10856,534,0,1,734,0,6274,1249,510,4298,816,0,0,1894,6106,117,818,29,5886,393,0,2939,3260,0,551,1481,6667,1989
1|0|111101,364,620,14315,5695,568,4304,4525,4294,0,166,7727,359,0,0,551,0,4495,838,380,2903,568,0,0,1373,4243,79,557,13,4244,258,0,2073,2360,0,383,510,6428,1400
1|0|111110,216,351,8520,3421,357,2524,2712,2479,0,94,4557,206,0,0,297,0,2600,503,215,1839,377,0,0,807,2657,40,343,12,2532,132,0,1255,1367,0,218,0,6439,861
1|0|111111,70,113,2815,1157,110,873,886,850,0,39,1533,68,0,0,126,0,846,156,67,601,111,0,0,240,868,19,113,4,806,49,0,428,487,0,68,0,6456,307
1|1|000000,0,20107,0,0,20378,0,0,0,0,0,0,20450,0,0,12827,0,0,0,20230,1182,20174,0,0,0,0,0,20055,5,149,7176,0,827,80877,0,0,0,12793,0
1|1|000001,0,19397,0,0,19940,0,0,0,0,0,0,20260,0,0,12649,0,0,0,20371,3535,19916,0,0,0,0,0,19640,25,2697,8497,0,2412,78725,0,0,0,12953,0
1|1|000010,0,19180,0,0,19058,0,0,0,0,0,0,19919,0,2,12191,0,0,0,19950,5845,19101,0,0,0,0,0,19295,30,5926,8450,0,4182,77104,0,0,0,13066,0
1|1|000011,0,18792,0,0,18931,0,0,0,0,0,0,19615,0,1,12122,0,0,0,19842,8138,18874,0,0,0,0,0,18905,47,9115,8455,0,5683,75546,0,0,0,13280,0
1|1|000100,0,18300,0,0,18288,0,0,0,0,0,0,19466,0,5,12082,0,0,0,19382,10353,18285,0,0,0,0,0,18189,58,12311,7886,0,7172,73437,0,0,0,12988,0
1|1|000101,0,17975,0,0,17750,0,0,0,0,0,0,19184,0,7,11794,0,0,0,19078,12755,18070,0,0,0,0,0,18159,73,15387,7759,0,8692,72365,0,0,0,13350,0
1|1|000110,0,17513,0,0,17498,0,0,0,0,0,0,18575,0,15,11587,0,0,0,18897,14808,17552,0,0,0,0,0,17733,67,18631,7580,0,10164,69875,0,0,0,13494,0
1|1|000111,0,17229,0,0,17317,0,0,0,0,0,0,18554,0,49,10974,0,0,1,18400,16707,17087,0,0,0,0,0,17418,96,21469,7392,0,11640,68387,0,0,0,13591,0
1|1|001000,124,17066,4993,1933,17151,1539,1552,1507,0,53,2756,18138,0,71,10685,280,1514,0,18122,18846,16645,0,0,487,1451,23,16584,127,24759,7358,0,13261,66869,22108,0,0,13594,489
1|1|001001,409,16087,14917,5802,16635,4421,4676,4398,0,173,8162,17867,0,116,10620,872,4522,0,17871,20903,16207,0,0,1481,4575,69,16148,147,27757,7042,0,14591,65628,65771,0,217,13595,1490
1|1|001010,659,15858,24792,9814,15997,7470,7768,7355,0,265,13355,17282,0,183,10895,1382,7706,0,17554,23109,16216,0,0,2387,7441,136,15955,140,30498,6819,0,16066,63514,108802,0,1708,13978,2493
1|1|001011,936,15562,34092,13623,15467,10350,10668,10152,0,377,18752,17091,0,300,10582,1822,10448,0,16987,24953,15593,0,0,3297,10377,174,15478,158,33536,6748,0,17358,61952,142026,0,3463,13780,3462
1|1|001100,1074,15174,43587,17459,15360,12997,13776,12969,0,476,23481,16750,0,451,10376,2015,13468,1,16671,27096,15224,0,0,4419,13227,213,14983,145,36019,6600,0,18706,60550,141462,0,5136,14064,4384
1|1|001101,1398,14691,53373,21280,14853,15714,16873,15962,0,587,28660,15999,0,582,10084,1723,16500,0,16393,28940,14688,0,0,5196,16001,273,14782,150,38782,6470,0,20029,58985,119140,0,6764,14131,5285
1|1|001110,1662,14545,62916,24929,14582,18540,19863,18741,0,665,33811,15842,0,704,9558,1205,19298,0,15943,31035,14393,0,0,6054,18799,320,14564,171,41363,6317,0,21432,57385,81693,0,8497,14216,6116
1|1|001111,1808,14044,71560,28656,14134,21369,22274,21387,0,757,38733,15469,0,974,9342,668,22008,0,15677,33160,14302,0,0,6924,21394,375,13828,182,44353,6070,0,23004,55664,46908,0,10064,14072,7130
1|1|010000,2090,13696,80527,32331,13453,24106,25253,24038,0,868,43659,15336,0,1221,8889,371,25102,0,15169,34563,13575,0,0,7924,24272,420,13547,207,47300,5948,0,24045,54577,22659,0,11992,14006,8098
1|1|010001,2227,13437,89335,35684,13286,26738,28147,26837,0,1025,48651,14930,0,1576,8746,101,27626,0,14855,36467,13298,0,0,8588,26810,482,13063,221,49748,5728,0,25461,53087,8219,0,13587,14132,8850
1|1|010010,2517,12849,98592,39669,12976,29238,30738,29340,0,1118,53310,14158,0,1722,8287,33,30360,0,14213,38511,13060,0,0,9626,29143,506,12953,214,52774,5642,0,26818,51729,2273,0,15056,14075,9970
1|1|010011,2718,12445,107026,42816,12307,32109,33572,32026,0,1160,57935,14029,0,2077,8153,2,32941,0,14104,40134,12550,0,0,10347,32191,588,12522,223,55064,5431,0,27815,50399,298,0,16747,13901,10933
1|1|010100,3092,12175,115456,46385,12213,34599,36356,34637,0,1219,62537,13533,0,2428,7615,0,36250,0,13393,42070,12334,0,0,11363,34648,619,12160,235,57677,5329,0,29375,49057,4,0,18457,13797,11476
1|1|010101,3237,11843,124387,49863,11807,36980,38922,36942,0,1287,67236,12999,0,2751,7512,0,38514,0,13017,43796,11923,0,0,11966,37341,685,11681,246,60194,5184,0,30346,47594,0,0,19869,13606,12410
1|1|010110,3451,11552,132539,53266,11526,39721,41650,39881,0,1469,72102,12443,0,2782,7527,0,41034,0,12435,45804,11440,0,0,12913,39477,709,11431,250,62518,4951,0,31967,45942,0,0,21401,13545,13451
1|1|010111,3718,11413,140462,56770,11448,42035,44066,42015,0,1529,76524,11741,0,3131,7651,0,43231,0,11941,47466,11117,0,0,13858,42297,725,11228,250,65097,4828,0,32896,44668,0,0,23036,13374,14149
1|1|011000,3907,10821,148871,59616,10728,44365,46728,44788,0,1581,81227,11384,0,3129,7679,0,45981,0,11673,49536,10927,0,0,14573,44587,750,10846,293,67529,4716,0,34035,43608,0,0,24369,13168,14891
1|1|011001,4123,10579,157018,62974,10373,46442,49355,47087,0,1684,85550,10705,0,3248,7602,0,48279,0,10921,51057,10408,0,0,15620,47386,818,10522,279,70265,4657,0,35210,42153,0,0,26086,13076,15910
